ds,y
2021-04-19 18:00:00,54631.29
2021-04-19 19:00:00,54764.12
2021-04-19 22:00:00,55258.63
2021-04-19 23:00:00,54950.04
2021-04-20 00:00:00,53856.35
2021-04-20 01:00:00,54410.57
2021-04-20 02:00:00,55220.29
2021-04-20 03:00:00,54889.16
2021-04-20 04:00:00,55908.52
2021-04-20 05:00:00,56266.83
2021-04-20 06:00:00,55801.14
2021-04-20 07:00:00,56317.99
2021-04-20 08:00:00,55336.14
2021-04-20 09:00:00,55323.19
2021-04-20 10:00:00,55784.86
2021-04-20 11:00:00,55871.72
2021-04-20 12:00:00,56253.81
2021-04-20 13:00:00,56572.44
2021-04-20 14:00:00,56725.0
2021-04-20 15:00:00,57020.76
2021-04-20 16:00:00,56380.0
2021-04-20 17:00:00,56425.0
2021-04-20 18:00:00,55679.99
2021-04-20 19:00:00,56044.2
2021-04-20 20:00:00,56109.73
2021-04-20 21:00:00,55204.6
2021-04-20 22:00:00,55386.31
2021-04-20 23:00:00,55408.89
2021-04-21 00:00:00,55559.57
2021-04-21 01:00:00,55304.04
2021-04-21 02:00:00,55445.49
2021-04-21 03:00:00,55570.01
2021-04-21 04:00:00,54916.83
2021-04-21 05:00:00,54563.37
2021-04-21 06:00:00,55433.39
2021-04-21 07:00:00,55569.31
2021-04-21 08:00:00,56182.11
2021-04-21 09:00:00,56153.75
2021-04-21 10:00:00,55743.81
2021-04-21 11:00:00,55526.01
2021-04-21 12:00:00,55306.35
2021-04-21 13:00:00,55478.7
2021-04-21 14:00:00,54956.93
2021-04-21 15:00:00,54745.78
2021-04-21 16:00:00,53996.73
2021-04-21 17:00:00,53787.63
2021-04-21 18:00:00,54070.0
2021-04-21 19:00:00,53911.88
2021-04-21 20:00:00,53760.82
2021-04-21 21:00:00,53497.09
2021-04-21 22:00:00,54271.67
2021-04-21 23:00:00,54457.72
2021-04-22 00:00:00,54457.46
2021-04-22 01:00:00,54144.99
2021-04-22 02:00:00,53652.0
2021-04-22 03:00:00,54303.92
2021-04-22 04:00:00,53899.71
2021-04-22 05:00:00,54866.62
2021-04-22 06:00:00,54990.48
2021-04-22 07:00:00,54419.13
2021-04-22 08:00:00,54744.24
2021-04-22 09:00:00,54651.64
2021-04-22 10:00:00,54897.11
2021-04-22 11:00:00,53437.4
2021-04-22 12:00:00,53372.69
2021-04-22 13:00:00,52923.54
2021-04-22 14:00:00,51623.57
2021-04-22 15:00:00,51673.71
2021-04-22 16:00:00,51620.8
2021-04-22 17:00:00,51690.96
2021-04-22 18:00:00,51524.09
2021-04-22 19:00:00,51080.59
2021-04-22 20:00:00,49999.99
2021-04-22 21:00:00,50298.76
2021-04-22 22:00:00,49178.19
2021-04-22 23:00:00,49501.73
2021-04-23 00:00:00,49051.48
2021-04-23 01:00:00,47942.44
2021-04-23 02:00:00,48749.75
2021-04-23 03:00:00,48226.87
2021-04-23 04:00:00,49455.53
2021-04-23 05:00:00,50070.36
2021-04-23 06:00:00,49249.3
2021-04-23 07:00:00,49127.39
2021-04-23 08:00:00,49728.37
2021-04-23 09:00:00,49836.62
2021-04-23 10:00:00,49836.91
2021-04-23 11:00:00,49824.74
2021-04-23 12:00:00,50563.59
2021-04-23 13:00:00,50876.72
2021-04-23 14:00:00,50504.32
2021-04-23 15:00:00,50298.07
2021-04-23 16:00:00,50469.05
2021-04-23 17:00:00,51125.14
2021-04-23 18:00:00,49864.95
2021-04-23 19:00:00,49724.1
2021-04-23 20:00:00,50067.37
2021-04-23 21:00:00,50109.93
2021-04-23 22:00:00,50412.76
2021-04-23 23:00:00,50456.09
2021-04-24 00:00:00,50210.75
2021-04-24 01:00:00,49805.2
2021-04-24 02:00:00,49762.54
2021-04-24 03:00:00,49507.07
2021-04-24 04:00:00,48991.37
2021-04-24 05:00:00,49073.71
2021-04-24 06:00:00,49549.87
2021-04-24 07:00:00,49554.32
2021-04-24 08:00:00,49294.71
2021-04-24 09:00:00,50212.03
2021-04-24 10:00:00,49894.73
2021-04-24 11:00:00,50121.31
2021-04-24 12:00:00,50562.06
2021-04-24 13:00:00,50667.75
2021-04-24 14:00:00,50930.49
2021-04-24 15:00:00,50853.72
2021-04-24 16:00:00,50298.84
2021-04-24 17:00:00,50047.84
2021-04-24 18:00:00,49821.69
2021-04-24 19:00:00,50132.66
2021-04-24 20:00:00,50289.01
2021-04-24 21:00:00,49615.54
2021-04-24 22:00:00,49683.94
2021-04-25 02:00:00,50086.13
2021-04-25 03:00:00,49486.62
2021-04-25 04:00:00,49342.51
2021-04-25 05:00:00,49550.73
2021-04-25 06:00:00,49859.54
2021-04-25 07:00:00,49872.91
2021-04-25 08:00:00,50335.68
2021-04-25 09:00:00,50257.97
2021-04-25 10:00:00,50395.49
2021-04-25 11:00:00,49921.81
2021-04-25 12:00:00,49622.7
2021-04-25 13:00:00,49333.01
2021-04-25 14:00:00,48094.68
2021-04-25 15:00:00,47598.87
2021-04-25 16:00:00,48689.03
2021-04-25 17:00:00,49066.77
2021-04-25 18:00:00,50900.0
2021-04-25 19:00:00,51920.39
2021-04-25 20:00:00,51969.24
2021-04-25 21:00:00,52398.99
2021-04-25 22:00:00,52299.99
2021-04-25 23:00:00,52535.23
2021-04-26 00:00:00,52832.0
2021-04-26 01:00:00,52801.37
2021-04-26 02:00:00,52584.19
2021-04-26 03:00:00,53450.04
2021-04-26 04:00:00,53217.03
2021-04-26 05:00:00,53598.39
2021-04-26 06:00:00,53484.75
2021-04-26 07:00:00,53659.52
2021-04-26 08:00:00,53545.87
2021-04-26 09:00:00,53571.12
2021-04-26 10:00:00,53284.61
2021-04-26 11:00:00,54034.75
2021-04-26 12:00:00,54245.87
2021-04-26 13:00:00,54036.19
2021-04-26 14:00:00,53180.0
2021-04-26 15:00:00,53363.54
2021-04-26 16:00:00,53582.45
2021-04-26 17:00:00,54001.39
2021-04-26 18:00:00,53657.36
2021-04-26 19:00:00,53772.23
2021-04-26 20:00:00,53812.01
2021-04-26 21:00:00,53460.3
2021-04-26 22:00:00,53456.85
2021-04-26 23:00:00,53918.3
2021-04-27 00:00:00,54700.34
2021-04-27 01:00:00,54545.01
2021-04-27 02:00:00,54430.17
2021-04-27 03:00:00,54487.04
2021-04-27 04:00:00,54683.34
2021-04-27 05:00:00,55152.43
2021-04-27 06:00:00,54838.53
2021-04-27 07:00:00,54726.35
2021-04-27 08:00:00,54953.92
2021-04-27 09:00:00,54981.87
2021-04-27 10:00:00,54663.28
2021-04-27 11:00:00,54875.62
2021-04-27 12:00:00,54960.01
2021-04-27 13:00:00,54761.7
2021-04-27 14:00:00,55133.88
2021-04-27 15:00:00,55275.29
2021-04-27 16:00:00,54944.72
2021-04-27 17:00:00,55011.97
2021-04-27 18:00:00,55384.61
2021-04-27 19:00:00,55471.2
2021-04-27 20:00:00,55189.99
2021-04-27 21:00:00,54774.05
2021-04-27 22:00:00,54820.54
2021-04-27 23:00:00,54594.5
2021-04-28 00:00:00,54144.18
2021-04-28 01:00:00,54255.98
2021-04-28 02:00:00,54063.23
2021-04-28 03:00:00,54215.31
2021-04-28 04:00:00,54413.56
2021-04-28 05:00:00,54853.26
2021-04-28 06:00:00,55175.25
2021-04-28 07:00:00,54780.0
2021-04-28 08:00:00,54489.22
2021-04-28 09:00:00,54338.14
2021-04-28 10:00:00,54704.76
2021-04-28 11:00:00,54838.72
2021-04-28 12:00:00,54933.76
2021-04-28 13:00:00,55411.97
2021-04-28 14:00:00,54369.08
2021-04-28 15:00:00,54801.34
2021-04-28 16:00:00,54466.72
2021-04-28 17:00:00,54846.22
2021-04-28 18:00:00,54720.07
2021-04-28 19:00:00,54567.68
2021-04-28 20:00:00,54575.94
2021-04-28 21:00:00,54265.1
2021-04-28 22:00:00,53564.94
2021-04-28 23:00:00,53896.92
2021-04-29 00:00:00,54372.84
2021-04-29 01:00:00,54465.14
2021-04-29 02:00:00,53929.29
2021-04-29 03:00:00,54541.01
2021-04-29 04:00:00,54428.04
2021-04-29 05:00:00,54300.16
2021-04-29 06:00:00,54330.01
2021-04-29 07:00:00,53606.03
2021-04-29 08:00:00,53682.26
2021-04-29 09:00:00,53703.11
2021-04-29 10:00:00,52972.0
2021-04-29 11:00:00,52742.95
2021-04-29 12:00:00,52928.54
2021-04-29 13:00:00,52860.02
2021-04-29 14:00:00,52981.71
2021-04-29 15:00:00,53329.2
2021-04-29 16:00:00,53387.35
2021-04-29 17:00:00,53555.0
2021-04-29 18:00:00,53386.46
2021-04-29 19:00:00,53395.09
2021-04-29 20:00:00,53520.42
2021-04-29 21:00:00,53679.03
2021-04-29 22:00:00,54124.35
2021-04-29 23:00:00,54266.56
2021-04-30 00:00:00,54415.0
2021-04-30 01:00:00,54343.11
2021-04-30 02:00:00,54526.61
2021-04-30 03:00:00,54318.08
2021-04-30 04:00:00,54164.67
2021-04-30 05:00:00,54230.63
2021-04-30 06:00:00,54655.81
2021-04-30 07:00:00,55989.31
2021-04-30 08:00:00,55952.19
2021-04-30 09:00:00,57180.06
2021-04-30 10:00:00,56707.28
2021-04-30 11:00:00,56546.79
2021-04-30 12:00:00,56857.47
2021-04-30 13:00:00,57007.38
2021-04-30 14:00:00,56757.34
2021-04-30 15:00:00,56976.53
2021-04-30 16:00:00,57119.75
2021-04-30 17:00:00,57694.27
2021-04-30 18:00:00,57811.42
2021-04-30 19:00:00,58450.0
2021-04-30 20:00:00,58100.0
2021-04-30 21:00:00,58178.67
2021-04-30 22:00:00,58052.37
2021-04-30 23:00:00,58134.44
2021-05-01 00:00:00,57894.91
2021-05-01 01:00:00,57725.14
2021-05-01 02:00:00,57450.63
2021-05-01 03:00:00,57492.99
2021-05-01 04:00:00,57384.0
2021-05-01 05:00:00,57816.9
2021-05-01 06:00:00,57764.15
2021-05-01 07:00:00,57611.0
2021-05-01 08:00:00,57430.78
2021-05-01 09:00:00,57356.58
2021-05-01 10:00:00,57495.59
2021-05-01 11:00:00,57569.99
2021-05-01 12:00:00,57610.52
2021-05-01 13:00:00,57770.31
2021-05-01 14:00:00,57679.99
2021-05-01 15:00:00,57451.58
2021-05-01 16:00:00,57657.75
2021-05-01 17:00:00,57800.37
2021-05-01 18:00:00,57442.25
2021-05-01 19:00:00,57415.6
2021-05-01 20:00:00,57650.0
2021-05-01 21:00:00,56450.19
2021-05-01 22:00:00,56905.68
2021-05-01 23:00:00,56902.07
2021-05-02 00:00:00,56879.99
2021-05-02 01:00:00,56633.02
2021-05-02 02:00:00,56525.23
2021-05-02 03:00:00,56450.0
2021-05-02 04:00:00,56831.67
2021-05-02 05:00:00,57090.0
2021-05-02 06:00:00,56839.66
2021-05-02 07:00:00,56679.85
2021-05-02 08:00:00,56823.52
2021-05-02 09:00:00,56595.2
2021-05-02 10:00:00,56557.8
2021-05-02 11:00:00,56779.99
2021-05-02 12:00:00,56840.45
2021-05-02 13:00:00,56836.4
2021-05-02 14:00:00,56994.0
2021-05-02 15:00:00,56649.99
2021-05-02 16:00:00,56382.1
2021-05-02 17:00:00,56578.21
2021-05-02 18:00:00,57407.86
2021-05-02 19:00:00,58042.82
2021-05-02 20:00:00,58060.48
2021-05-02 21:00:00,57925.8
2021-05-02 22:00:00,57820.64
2021-05-02 23:00:00,57938.86
2021-05-03 00:00:00,57945.55
2021-05-03 01:00:00,58787.87
2021-05-03 02:00:00,58764.07
2021-05-03 03:00:00,58409.73
2021-05-03 04:00:00,58467.42
2021-05-03 05:00:00,58657.63
2021-05-03 06:00:00,58558.27
2021-05-03 07:00:00,57697.33
2021-05-03 08:00:00,57777.33
2021-05-03 09:00:00,57601.83
2021-05-03 10:00:00,57693.73
2021-05-03 11:00:00,57958.6
2021-05-03 12:00:00,57764.42
2021-05-03 13:00:00,57564.87
2021-05-03 14:00:00,56783.94
2021-05-03 15:00:00,57110.25
2021-05-03 16:00:00,57292.88
2021-05-03 17:00:00,57169.39
2021-05-03 18:00:00,55291.71
2021-05-03 19:00:00,55682.71
2021-05-03 20:00:00,55695.16
2021-05-03 21:00:00,55452.17
2021-05-03 22:00:00,55809.45
2021-05-03 23:00:00,55988.95
2021-05-04 00:00:00,56070.62
2021-05-04 01:00:00,55917.97
2021-05-04 02:00:00,55739.99
2021-05-04 03:00:00,56077.57
2021-05-04 04:00:00,56406.72
2021-05-04 05:00:00,56143.42
2021-05-04 06:00:00,56020.57
2021-05-04 07:00:00,55461.35
2021-05-04 08:00:00,54825.01
2021-05-04 09:00:00,53799.33
2021-05-04 10:00:00,53849.23
2021-05-04 11:00:00,54166.82
2021-05-04 12:00:00,54524.76
2021-05-04 13:00:00,54541.13
2021-05-04 14:00:00,54727.01
2021-05-04 15:00:00,54349.83
2021-05-04 16:00:00,54079.61
2021-05-04 17:00:00,53200.01
2021-05-04 18:00:00,54566.58
2021-05-04 19:00:00,54758.72
2021-05-04 20:00:00,55050.22
2021-05-04 21:00:00,54795.19
2021-05-04 22:00:00,54552.15
2021-05-04 23:00:00,54693.1
2021-05-05 00:00:00,54421.51
2021-05-05 01:00:00,54858.35
2021-05-05 02:00:00,55425.02
2021-05-05 03:00:00,55359.48
2021-05-05 04:00:00,55627.54
2021-05-05 05:00:00,55108.95
2021-05-05 06:00:00,55573.09
2021-05-05 07:00:00,56247.17
2021-05-05 08:00:00,56982.8
2021-05-05 09:00:00,57636.74
2021-05-05 10:00:00,57414.77
2021-05-05 11:00:00,57281.33
2021-05-05 12:00:00,57301.55
2021-05-05 13:00:00,57136.04
2021-05-05 14:00:00,56841.77
2021-05-05 15:00:00,56796.44
2021-05-05 16:00:00,57064.55
2021-05-05 17:00:00,57436.11
2021-05-05 18:00:00,56959.92
2021-05-05 19:00:00,56835.86
2021-05-05 20:00:00,57033.36
2021-05-05 21:00:00,56797.09
2021-05-05 22:00:00,56943.39
2021-05-05 23:00:00,57167.03
2021-05-06 00:00:00,56587.65
2021-05-06 01:00:00,56814.79
2021-05-06 02:00:00,56898.87
2021-05-06 03:00:00,57261.57
2021-05-06 04:00:00,57982.1
2021-05-06 05:00:00,57988.0
2021-05-06 06:00:00,57616.97
2021-05-06 07:00:00,57271.31
2021-05-06 08:00:00,57153.13
2021-05-06 09:00:00,57088.49
2021-05-06 10:00:00,56718.03
2021-05-06 11:00:00,56777.0
2021-05-06 12:00:00,55753.57
2021-05-06 13:00:00,56128.42
2021-05-06 14:00:00,55913.75
2021-05-06 15:00:00,56296.52
2021-05-06 16:00:00,56498.56
2021-05-06 17:00:00,56393.68
2021-05-06 18:00:00,56376.29
2021-05-06 19:00:00,56197.07
2021-05-06 20:00:00,55829.28
2021-05-06 21:00:00,55705.67
2021-05-06 22:00:00,55830.9
2021-05-06 23:00:00,55795.36
2021-05-07 00:00:00,56109.0
2021-05-07 01:00:00,55766.34
2021-05-07 02:00:00,56086.5
2021-05-07 03:00:00,56231.46
2021-05-07 04:00:00,56400.57
2021-05-07 05:00:00,56464.74
2021-05-07 06:00:00,57459.27
2021-05-07 07:00:00,56997.47
2021-05-07 08:00:00,57129.5
2021-05-07 09:00:00,57519.24
2021-05-07 10:00:00,58300.0
2021-05-07 11:00:00,58119.99
2021-05-07 12:00:00,57890.03
2021-05-07 13:00:00,57584.01
2021-05-07 14:00:00,57607.97
2021-05-07 15:00:00,57358.44
2021-05-07 16:00:00,57030.92
2021-05-07 17:00:00,57314.75
2021-05-07 18:00:00,57700.78
2021-05-07 19:00:00,57558.89
2021-05-07 20:00:00,58253.2
2021-05-07 21:00:00,58099.98
2021-05-07 22:00:00,58057.02
2021-05-07 23:00:00,57877.97
2021-05-08 00:00:00,57804.1
2021-05-08 01:00:00,58463.06
2021-05-08 02:00:00,58856.56
2021-05-08 03:00:00,58799.99
2021-05-08 04:00:00,58539.56
2021-05-08 05:00:00,58556.09
2021-05-08 06:00:00,58862.79
2021-05-08 07:00:00,58828.25
2021-05-08 08:00:00,58946.32
2021-05-08 09:00:00,57599.87
2021-05-08 10:00:00,58381.14
2021-05-08 11:00:00,58898.98
2021-05-08 12:00:00,59060.57
2021-05-08 13:00:00,59030.56
2021-05-08 14:00:00,58935.31
2021-05-08 15:00:00,58782.49
2021-05-08 16:00:00,58567.12
2021-05-08 17:00:00,58862.05
2021-05-08 18:00:00,58527.0
2021-05-08 19:00:00,59126.14
2021-05-08 20:00:00,58605.0
2021-05-08 21:00:00,58632.78
2021-05-08 22:00:00,58157.87
2021-05-08 23:00:00,58446.51
2021-05-09 00:00:00,58337.57
2021-05-09 01:00:00,57965.59
2021-05-09 02:00:00,58159.6
2021-05-09 03:00:00,57952.52
2021-05-09 04:00:00,57955.04
2021-05-09 05:00:00,57907.49
2021-05-09 06:00:00,56433.53
2021-05-09 07:00:00,57220.02
2021-05-09 08:00:00,57170.9
2021-05-09 09:00:00,57379.58
2021-05-09 10:00:00,57600.01
2021-05-09 11:00:00,57458.73
2021-05-09 12:00:00,57439.39
2021-05-09 13:00:00,57266.97
2021-05-09 14:00:00,57844.18
2021-05-09 15:00:00,58025.89
2021-05-09 16:00:00,57930.32
2021-05-09 17:00:00,58240.84
2021-05-09 18:00:00,58858.6
2021-05-09 19:00:00,58700.21
2021-05-09 20:00:00,58982.81
2021-05-09 21:00:00,59356.76
2021-05-09 22:00:00,59154.67
2021-05-09 23:00:00,59068.05
2021-05-10 00:00:00,58833.93
2021-05-10 01:00:00,58370.17
2021-05-10 02:00:00,58372.87
2021-05-10 03:00:00,57899.65
2021-05-10 04:00:00,57866.23
2021-05-10 05:00:00,58070.63
2021-05-10 06:00:00,57654.57
2021-05-10 07:00:00,57675.84
2021-05-10 08:00:00,56831.59
2021-05-10 09:00:00,58296.36
2021-05-10 10:00:00,57572.32
2021-05-10 11:00:00,56985.3
2021-05-10 12:00:00,56771.88
2021-05-10 13:00:00,55733.76
2021-05-10 14:00:00,55240.88
2021-05-10 15:00:00,55641.11
2021-05-10 16:00:00,56229.93
2021-05-10 17:00:00,55816.14
2021-05-10 18:00:00,55460.08
2021-05-10 19:00:00,55565.33
2021-05-10 20:00:00,54600.0
2021-05-10 21:00:00,55142.46
2021-05-10 22:00:00,55337.04
2021-05-10 23:00:00,54798.0
2021-05-11 00:00:00,55677.12
2021-05-11 01:00:00,55740.09
2021-05-11 02:00:00,55341.27
2021-05-11 03:00:00,55901.15
2021-05-11 04:00:00,55841.78
2021-05-11 05:00:00,55210.47
2021-05-11 06:00:00,55374.08
2021-05-11 07:00:00,55750.0
2021-05-11 08:00:00,55688.0
2021-05-11 09:00:00,56052.82
2021-05-11 10:00:00,55999.69
2021-05-11 11:00:00,56395.1
2021-05-11 12:00:00,56383.66
2021-05-11 13:00:00,56608.94
2021-05-11 14:00:00,56806.34
2021-05-11 15:00:00,56510.26
2021-05-11 16:00:00,56399.99
2021-05-11 17:00:00,56670.02
2021-05-11 18:00:00,57348.95
2021-05-11 19:00:00,57033.35
2021-05-11 20:00:00,57172.94
2021-05-11 21:00:00,57756.94
2021-05-11 22:00:00,57355.3
2021-05-11 23:00:00,57227.98
2021-05-12 00:00:00,57009.55
2021-05-12 01:00:00,57101.07
2021-05-12 02:00:00,56912.77
2021-05-12 03:00:00,56855.43
2021-05-12 04:00:00,56026.83
2021-05-12 05:00:00,56421.46
2021-05-12 06:00:00,56316.76
2021-05-12 07:00:00,56760.11
2021-05-12 08:00:00,56073.03
2021-05-12 09:00:00,55479.13
2021-05-12 10:00:00,55013.01
2021-05-12 11:00:00,54865.13
2021-05-12 12:00:00,54082.52
2021-05-12 13:00:00,54432.39
2021-05-12 14:00:00,54420.14
2021-05-12 15:00:00,54533.16
2021-05-12 16:00:00,52942.79
2021-05-12 17:00:00,49631.32
2021-05-12 18:00:00,49666.99
2021-05-12 19:00:00,50522.52
2021-05-12 20:00:00,50255.84
2021-05-12 21:00:00,50461.99
2021-05-12 22:00:00,50445.87
2021-05-12 23:00:00,50884.09
2021-05-13 00:00:00,51332.74
2021-05-13 01:00:00,50879.72
2021-05-13 02:00:00,50015.82
2021-05-13 03:00:00,49212.91
2021-05-13 04:00:00,49171.76
2021-05-13 05:00:00,49777.01
2021-05-13 06:00:00,50158.05
2021-05-13 07:00:00,50500.0
2021-05-13 08:00:00,50288.69
2021-05-13 09:00:00,49627.64
2021-05-13 10:00:00,48635.4
2021-05-13 11:00:00,48465.11
2021-05-13 12:00:00,47844.04
2021-05-13 13:00:00,48568.85
2021-05-13 14:00:00,49304.15
2021-05-13 15:00:00,49564.94
2021-05-13 16:00:00,48857.72
2021-05-13 17:00:00,49670.97
2021-05-13 18:00:00,50029.78
2021-05-13 19:00:00,50015.76
2021-05-13 20:00:00,49464.64
2021-05-13 21:00:00,49157.93
2021-05-13 22:00:00,49198.86
2021-05-13 23:00:00,49653.44
2021-05-14 00:00:00,49056.83
2021-05-14 01:00:00,49987.2
2021-05-14 02:00:00,50365.98
2021-05-14 03:00:00,50413.21
2021-05-14 04:00:00,50720.34
2021-05-14 05:00:00,50538.14
2021-05-14 06:00:00,50310.83
2021-05-14 07:00:00,50937.18
2021-05-14 08:00:00,50873.78
2021-05-14 09:00:00,51211.98
2021-05-14 10:00:00,50809.0
2021-05-14 11:00:00,50569.36
2021-05-14 12:00:00,50470.07
2021-05-14 13:00:00,50138.09
2021-05-14 14:00:00,49146.02
2021-05-14 15:00:00,49807.18
2021-05-14 16:00:00,49912.26
2021-05-14 17:00:00,49841.45
2021-05-14 18:00:00,49444.7
2021-05-14 19:00:00,50619.19
2021-05-14 20:00:00,50084.84
2021-05-14 21:00:00,49627.01
2021-05-14 22:00:00,49322.03
2021-05-14 23:00:00,49666.46
2021-05-15 00:00:00,48971.99
2021-05-15 01:00:00,48469.28
2021-05-15 02:00:00,48826.08
2021-05-15 03:00:00,48640.87
2021-05-15 04:00:00,48379.9
2021-05-15 05:00:00,48929.74
2021-05-15 06:00:00,49167.21
2021-05-15 07:00:00,48995.02
2021-05-15 08:00:00,49389.58
2021-05-15 09:00:00,48982.99
2021-05-15 10:00:00,47876.71
2021-05-15 11:00:00,47801.08
2021-05-15 12:00:00,47890.07
2021-05-15 13:00:00,48108.4
2021-05-15 14:00:00,48219.31
2021-05-15 15:00:00,48419.76
2021-05-15 16:00:00,47964.69
2021-05-15 17:00:00,46762.99
2021-05-15 18:00:00,47283.43
2021-05-15 19:00:00,48059.99
2021-05-15 20:00:00,48150.01
2021-05-15 21:00:00,48383.46
2021-05-15 22:00:00,48102.77
2021-05-15 23:00:00,48165.86
2021-05-16 00:00:00,49047.97
2021-05-16 01:00:00,49375.28
2021-05-16 02:00:00,48900.02
2021-05-16 03:00:00,49264.69
2021-05-16 04:00:00,49579.7
2021-05-16 05:00:00,49014.99
2021-05-16 06:00:00,48622.62
2021-05-16 07:00:00,48915.73
2021-05-16 08:00:00,48284.32
2021-05-16 09:00:00,47727.26
2021-05-16 10:00:00,47276.26
2021-05-16 11:00:00,47081.5
2021-05-16 12:00:00,45380.56
2021-05-16 13:00:00,45549.26
2021-05-16 14:00:00,44104.07
2021-05-16 15:00:00,45195.96
2021-05-16 16:00:00,45562.01
2021-05-16 17:00:00,46431.5
2021-05-16 18:00:00,45551.72
2021-05-16 19:00:00,44870.17
2021-05-16 20:00:00,44465.81
2021-05-16 21:00:00,42915.46
2021-05-16 22:00:00,43582.53
2021-05-16 23:00:00,44150.24
2021-05-17 00:00:00,44323.45
2021-05-17 01:00:00,45149.18
2021-05-17 02:00:00,45320.64
2021-05-17 03:00:00,45408.87
2021-05-17 04:00:00,44539.0
2021-05-17 05:00:00,45731.39
2021-05-17 06:00:00,44919.14
2021-05-17 07:00:00,45029.01
2021-05-17 08:00:00,44440.98
2021-05-17 09:00:00,43362.75
2021-05-17 10:00:00,42567.28
2021-05-17 11:00:00,42587.21
2021-05-17 12:00:00,43473.22
2021-05-17 13:00:00,44197.73
2021-05-17 14:00:00,44757.64
2021-05-17 15:00:00,43514.55
2021-05-17 16:00:00,42897.07
2021-05-17 17:00:00,43538.04
2021-05-17 18:00:00,44386.26
2021-05-17 19:00:00,45072.49
2021-05-17 20:00:00,45018.55
2021-05-17 21:00:00,44779.83
2021-05-17 22:00:00,45318.97
2021-05-17 23:00:00,45359.99
2021-05-18 00:00:00,44898.06
2021-05-18 01:00:00,45172.7
2021-05-18 02:00:00,44925.19
2021-05-18 03:00:00,44955.35
2021-05-18 04:00:00,45365.87
2021-05-18 05:00:00,45321.02
2021-05-18 06:00:00,43955.47
2021-05-18 07:00:00,43691.22
2021-05-18 08:00:00,43221.4
2021-05-18 09:00:00,42969.47
2021-05-18 10:00:00,43600.21
2021-05-18 11:00:00,43324.59
2021-05-18 12:00:00,42800.01
2021-05-18 13:00:00,43262.71
2021-05-18 14:00:00,43256.56
2021-05-18 15:00:00,42979.69
2021-05-18 16:00:00,42817.85
2021-05-18 17:00:00,42849.78
2021-05-18 18:00:00,42610.25
2021-05-18 19:00:00,40843.52
2021-05-18 20:00:00,40325.01
2021-05-18 21:00:00,40591.15
2021-05-18 22:00:00,39307.66
2021-05-18 23:00:00,39200.01
2021-05-19 00:00:00,39378.54
2021-05-19 01:00:00,40371.44
2021-05-19 02:00:00,40465.04
2021-05-19 03:00:00,40324.64
2021-05-19 04:00:00,39432.27
2021-05-19 05:00:00,38700.0
2021-05-19 06:00:00,35234.62
2021-05-19 07:00:00,35863.06
2021-05-19 08:00:00,37521.32
2021-05-19 09:00:00,37318.52
2021-05-19 10:00:00,39580.68
2021-05-19 11:00:00,39370.61
2021-05-19 12:00:00,37961.02
2021-05-19 13:00:00,39342.93
2021-05-19 14:00:00,38217.41
2021-05-19 15:00:00,38771.77
2021-05-19 16:00:00,39090.15
2021-05-19 17:00:00,39149.99
